LOCATIONID,LOCATIONNAME,WKT,ZONELEVELID,city
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,"{""coordinates"":[[[[-3.6301,40.4494],[-3.6263,40.4495],[-3.6266,40.4514],[-3.6266,40.4516],[-3.6266,40.4522],[-3.6265,40.4526],[-3.626,40.4531],[-3.6257,40.4533],[-3.6227,40.4544],[-3.6206,40.4552],[-3.62,40.4555],[-3.6195,40.4558],[-3.619,40.4562],[-3.6187,40.4565],[-3.6175,40.4581],[-3.6193,40.4591],[-3.621,40.4602],[-3.6217,40.4608],[-3.6235,40.4628],[-3.6239,40.4626],[-3.6256,40.4626],[-3.6302,40.4626],[-3.6309,40.4626],[-3.6341,40.4627],[-3.6372,40.4627],[-3.6377,40.4626],[-3.6382,40.4625],[-3.6388,40.4623],[-3.6392,40.4621],[-3.6399,40.4616],[-3.6416,40.4605],[-3.6418,40.4603],[-3.6425,40.4596],[-3.6433,40.4586],[-3.6443,40.4573],[-3.6446,40.4572],[-3.6477,40.4571],[-3.6482,40.4571],[-3.6505,40.4571],[-3.651,40.4572],[-3.6515,40.4572],[-3.6521,40.4572],[-3.6534,40.4571],[-3.654,40.457],[-3.6542,40.4569],[-3.6531,40.4558],[-3.6513,40.4537],[-3.6481,40.4495],[-3.6468,40.4497],[-3.6455,40.4497],[-3.6445,40.4496],[-3.6401,40.4488],[-3.6381,40.4486],[-3.6365,40.4485],[-3.6337,40.449],[-3.6322,40.4492],[-3.6301,40.4494]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,"{""coordinates"":[[[[-3.6551,40.4668],[-3.6543,40.4669],[-3.6506,40.4673],[-3.6455,40.4687],[-3.6435,40.4692],[-3.6426,40.4695],[-3.6424,40.4691],[-3.6421,40.4691],[-3.6388,40.469],[-3.6342,40.4686],[-3.6337,40.4687],[-3.6329,40.4689],[-3.6302,40.4687],[-3.6285,40.4684],[-3.6279,40.4684],[-3.6298,40.4705],[-3.6318,40.4723],[-3.6361,40.4755],[-3.6419,40.4797],[-3.6477,40.4808],[-3.6501,40.4812],[-3.6504,40.4809],[-3.651,40.4803],[-3.6524,40.4789],[-3.6543,40.477],[-3.6547,40.4762],[-3.6555,40.475],[-3.6559,40.474],[-3.6563,40.4732],[-3.6572,40.4718],[-3.6575,40.4715],[-3.6578,40.4712],[-3.6591,40.4705],[-3.6606,40.4692],[-3.6622,40.468],[-3.6626,40.4678],[-3.663,40.4676],[-3.6634,40.4675],[-3.6629,40.4656],[-3.6627,40.4651],[-3.6627,40.4649],[-3.6625,40.4643],[-3.6625,40.4641],[-3.6621,40.4634],[-3.6621,40.4634],[-3.6616,40.4631],[-3.6613,40.4628],[-3.661,40.4627],[-3.6605,40.4623],[-3.6603,40.4622],[-3.6596,40.4628],[-3.6594,40.463],[-3.6592,40.4632],[-3.6592,40.4634],[-3.6592,40.4637],[-3.6593,40.4639],[-3.6593,40.464],[-3.6593,40.4642],[-3.6594,40.4644],[-3.6579,40.4657],[-3.657,40.4662],[-3.6565,40.4664],[-3.656,40.4666],[-3.6558,40.4667],[-3.6551,40.4668]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-21-004,Timón,"{""coordinates"":[[[[-3.5817,40.4797],[-3.6016,40.4799],[-3.6015,40.4758],[-3.6015,40.4736],[-3.6028,40.4703],[-3.6014,40.4699],[-3.5997,40.4694],[-3.5983,40.4693],[-3.5952,40.4688],[-3.5873,40.4686],[-3.5854,40.4686],[-3.5844,40.4685],[-3.5837,40.4683],[-3.5827,40.4679],[-3.5822,40.4676],[-3.5819,40.4683],[-3.5814,40.4692],[-3.5815,40.4709],[-3.5818,40.4721],[-3.5824,40.4749],[-3.5825,40.4754],[-3.5823,40.476],[-3.5814,40.4785],[-3.5811,40.4796],[-3.5817,40.4797]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-01-001,Palacio,"{""coordinates"":[[[[-3.7204,40.4203],[-3.721,40.42],[-3.7219,40.4174],[-3.7223,40.4164],[-3.7225,40.4152],[-3.7228,40.414],[-3.7198,40.4139],[-3.7169,40.4139],[-3.7183,40.4112],[-3.7181,40.4108],[-3.7168,40.4087],[-3.7148,40.4078],[-3.713,40.4071],[-3.7117,40.4067],[-3.7116,40.4069],[-3.7114,40.4073],[-3.711,40.408],[-3.7105,40.4088],[-3.71,40.4093],[-3.7093,40.4102],[-3.7092,40.4104],[-3.7084,40.4113],[-3.7081,40.4119],[-3.7078,40.4124],[-3.7075,40.4127],[-3.7075,40.4129],[-3.7074,40.4134],[-3.7078,40.4135],[-3.7082,40.4137],[-3.7081,40.414],[-3.708,40.4145],[-3.7082,40.4147],[-3.7083,40.4151],[-3.7085,40.4153],[-3.7087,40.4154],[-3.7087,40.4155],[-3.7087,40.4161],[-3.7086,40.4164],[-3.7087,40.4167],[-3.7087,40.417],[-3.7086,40.4173],[-3.7086,40.4177],[-3.7088,40.4179],[-3.7082,40.4188],[-3.7082,40.4191],[-3.708,40.4197],[-3.7079,40.4198],[-3.7082,40.4203],[-3.7073,40.4202],[-3.7063,40.4202],[-3.706,40.4202],[-3.7109,40.4234],[-3.712,40.4227],[-3.7127,40.4223],[-3.7133,40.4219],[-3.7145,40.421],[-3.7155,40.4203],[-3.7194,40.4202],[-3.7204,40.4203]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,"{""coordinates"":[[[[-3.6965,40.4188],[-3.6997,40.4198],[-3.6997,40.4193],[-3.6997,40.4189],[-3.6995,40.4183],[-3.6994,40.4179],[-3.6996,40.4177],[-3.6999,40.4173],[-3.7001,40.4171],[-3.7004,40.4166],[-3.701,40.4161],[-3.7018,40.4155],[-3.703,40.4146],[-3.7035,40.4141],[-3.7029,40.414],[-3.702,40.4136],[-3.7017,40.4135],[-3.7014,40.4134],[-3.7002,40.4129],[-3.6969,40.4113],[-3.6956,40.4106],[-3.694,40.4099],[-3.6926,40.4094],[-3.6921,40.4092],[-3.6923,40.4096],[-3.6936,40.4134],[-3.6943,40.4153],[-3.6933,40.4188],[-3.6931,40.4195],[-3.6937,40.4194],[-3.6956,40.419],[-3.6965,40.4188]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-02-001,Imperial,"{""coordinates"":[[[[-3.7228,40.414],[-3.7229,40.4129],[-3.7222,40.4106],[-3.7216,40.4091],[-3.7217,40.4083],[-3.7226,40.406],[-3.7226,40.4046],[-3.7226,40.4044],[-3.7224,40.4036],[-3.7219,40.4015],[-3.7212,40.4006],[-3.7203,40.4],[-3.7195,40.3998],[-3.717,40.3999],[-3.7163,40.4],[-3.715,40.3996],[-3.7148,40.3999],[-3.7142,40.4011],[-3.7126,40.4046],[-3.712,40.4059],[-3.7119,40.4062],[-3.7117,40.4067],[-3.7128,40.4071],[-3.7148,40.4078],[-3.7168,40.4087],[-3.7178,40.4104],[-3.7181,40.4108],[-3.7183,40.4112],[-3.7169,40.4139],[-3.7207,40.414],[-3.7212,40.414],[-3.7219,40.414],[-3.7228,40.414]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-02-003,Chopera,"{""coordinates"":[[[[-3.699,40.4004],[-3.6993,40.4009],[-3.6993,40.4009],[-3.6996,40.4007],[-3.7003,40.3999],[-3.7009,40.3993],[-3.701,40.3991],[-3.7018,40.3983],[-3.7032,40.3967],[-3.7047,40.395],[-3.7032,40.3944],[-3.7021,40.3935],[-3.6994,40.3905],[-3.6981,40.3891],[-3.6952,40.391],[-3.6951,40.3912],[-3.695,40.392],[-3.6947,40.3942],[-3.6949,40.3946],[-3.6952,40.3949],[-3.6958,40.3958],[-3.6963,40.3965],[-3.699,40.4004]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,"{""coordinates"":[[[[-3.6855,40.4004],[-3.6859,40.4007],[-3.685,40.4013],[-3.6838,40.4007],[-3.6821,40.4019],[-3.6839,40.4027],[-3.6848,40.403],[-3.6834,40.4051],[-3.6874,40.4062],[-3.6888,40.4068],[-3.6921,40.409],[-3.6924,40.4083],[-3.6935,40.4075],[-3.694,40.4074],[-3.6991,40.4059],[-3.7005,40.4056],[-3.7011,40.4054],[-3.7026,40.405],[-3.7025,40.4049],[-3.7023,40.4047],[-3.702,40.4043],[-3.7017,40.4039],[-3.7009,40.4029],[-3.7006,40.4026],[-3.6996,40.4013],[-3.6995,40.4012],[-3.6995,40.4011],[-3.6994,40.401],[-3.6993,40.4009],[-3.6993,40.4009],[-3.6985,40.401],[-3.694,40.4008],[-3.693,40.4008],[-3.692,40.4008],[-3.6884,40.4006],[-3.6868,40.4005],[-3.6862,40.4004],[-3.6857,40.4003],[-3.6855,40.4004]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-03-002,Adelfas,"{""coordinates"":[[[[-3.6767,40.3991],[-3.6757,40.3982],[-3.6748,40.3972],[-3.6741,40.396],[-3.6735,40.3948],[-3.6735,40.3945],[-3.6725,40.3951],[-3.6716,40.3956],[-3.6692,40.3984],[-3.6684,40.3996],[-3.6681,40.4],[-3.6677,40.4008],[-3.6669,40.4027],[-3.6661,40.4047],[-3.6654,40.4063],[-3.6701,40.4066],[-3.6702,40.4066],[-3.6704,40.4062],[-3.6711,40.4055],[-3.6734,40.4028],[-3.6767,40.3991]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-04-002,Goya,"{""coordinates"":[[[[-3.6688,40.4239],[-3.6687,40.4248],[-3.6687,40.4258],[-3.6687,40.4262],[-3.6686,40.4276],[-3.6686,40.4281],[-3.6688,40.4282],[-3.669,40.4284],[-3.6751,40.4287],[-3.6769,40.4288],[-3.6783,40.4288],[-3.6799,40.4289],[-3.6801,40.4259],[-3.6803,40.423],[-3.6803,40.4226],[-3.68,40.4217],[-3.6795,40.4217],[-3.6773,40.4216],[-3.6689,40.4212],[-3.6688,40.4239]]]],""type"":""MultiPolygon""}",8,Madrid
