AMENITYID,ASSETID,BATHNUMBER,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,CADASTRALQUALITYID,CADCONSTRUCTIONYEAR,CADDWELLINGCOUNT,CADMAXBUILDINGFLOOR,CONSTRUCTEDAREA,CONSTRUCTIONYEAR,DISTANCE_TO_CASTELLANA,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,FLATLOCATIONID,FLOORCLEAN,HASAIRCONDITIONING,HASBOXROOM,HASDOORMAN,HASEASTORIENTATION,HASGARDEN,HASLIFT,HASNORTHORIENTATION,HASPARKINGSPACE,HASSOUTHORIENTATION,HASSWIMMINGPOOL,HASTERRACE,HASWARDROBE,HASWESTORIENTATION,ISDUPLEX,ISINTOPFLOOR,ISPARKINGSPACEINCLUDEDINPRICE,ISSTUDIO,LATITUDE,LONGITUDE,PARKINGSPACEPRICE,PERIOD,PRICE,ROOMNUMBER,UNITPRICE,geometry,region
3,A15019136831406238029,1,0,1,0,3,2005,319,7,47,2005,6.8687,8.0584,0.8721,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,40.3625,-3.7669,1,201803,126000,1,2680.8511,"{""coordinates"":[-3.7669,40.3625],""type"":""Point""}",Madrid
3,A6677225905472065344,1,0,0,1,3,1900,11,5,54,null,1.5441,0.8764,0.1164,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4224,-3.7107,1,201803,235000,1,4351.8519,"{""coordinates"":[-3.7107,40.4224],""type"":""Point""}",Madrid
3,A13341979748618524775,1,0,0,1,3,1915,26,6,75,null,1.6084,0.9075,0.1391,1,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40.4222,-3.7116,1,201803,373000,2,4973.3333,"{""coordinates"":[-3.7116,40.4222],""type"":""Point""}",Madrid
3,A4775182175615276542,1,0,0,1,5,1947,15,9,48,null,1.5162,0.8455,0.1443,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4223,-3.7104,1,201803,284000,1,5916.6667,"{""coordinates"":[-3.7104,40.4223],""type"":""Point""}",Madrid
3,A2492087730711701973,1,0,0,1,7,1930,19,5,50,1930,1.7941,1.2502,0.3371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.4087,-3.7143,1,201803,228000,0,4560,"{""coordinates"":[-3.7143,40.4087],""type"":""Point""}",Madrid
3,A18372428154681111419,2,0,1,0,3,1900,18,5,127,null,1.1681,0.5418,0.1614,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4126,-3.7075,1,201803,498000,3,3921.2598,"{""coordinates"":[-3.7075,40.4126],""type"":""Point""}",Madrid
3,A4705946410795464036,1,0,0,1,3,1942,15,6,35,null,1.5174,0.8596,0.127,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.4224,-3.7104,1,201803,225000,0,6428.5714,"{""coordinates"":[-3.7104,40.4224],""type"":""Point""}",Madrid
3,A8243762537477781718,1,0,0,1,6,1960,26,6,100,null,1.7629,1.3461,0.2634,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,40.4074,-3.7141,1,201803,365000,2,3650,"{""coordinates"":[-3.7141,40.4074],""type"":""Point""}",Madrid
1,A9587449507628658013,1,0,0,1,1,1900,16,5,70,1900,1.5483,0.7536,0.4372,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,40.4149,-3.7124,1,201803,425000,1,6071.4286,"{""coordinates"":[-3.7124,40.4149],""type"":""Point""}",Madrid
3,A3694300518337702967,3,0,0,1,3,1972,15,7,360,null,1.6095,0.7792,0.3126,1,9,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,40.4172,-3.7129,1,201803,3187000,4,8852.7778,"{""coordinates"":[-3.7129,40.4172],""type"":""Point""}",Madrid
2,A12604969626973677047,1,0,0,1,2,1950,13,5,44,null,1.4013,0.6547,0.1612,2,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,40.4205,-3.7095,1,201803,203000,0,4613.6364,"{""coordinates"":[-3.7095,40.4205],""type"":""Point""}",Madrid
3,A1682702257758295446,1,0,0,1,5,1967,21,6,40,null,1.5815,0.8985,0.3497,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4117,-3.7123,1,201803,213000,1,5325,"{""coordinates"":[-3.7123,40.4117],""type"":""Point""}",Madrid
3,A11532129615377606790,2,0,0,1,5,1860,11,6,114,null,1.4229,0.8067,0.1651,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4112,-3.7101,1,201803,422000,2,3701.7544,"{""coordinates"":[-3.7101,40.4112],""type"":""Point""}",Madrid
3,A15416265623565967313,1,0,0,1,3,1880,7,4,30,null,1.3784,0.7056,0.1951,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.4124,-3.71,1,201803,211000,0,7033.3333,"{""coordinates"":[-3.71,40.4124],""type"":""Point""}",Madrid
3,A2893199643597593313,3,0,0,1,2,1900,10,6,155,null,1.3507,0.5399,0.2704,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4157,-3.7101,1,201803,1013000,3,6535.4839,"{""coordinates"":[-3.7101,40.4157],""type"":""Point""}",Madrid
3,A2841754568502209063,2,0,1,0,1,1933,14,6,142,null,1.2927,0.4618,0.0673,1,5,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40.4175,-3.7091,1,201803,897000,5,6316.9014,"{""coordinates"":[-3.7091,40.4175],""type"":""Point""}",Madrid
3,A10976273205185897585,1,0,1,0,2,1890,11,4,542,1890,1.454,0.6227,0.1622,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4173,-3.7111,1,201803,2349000,1,4333.9483,"{""coordinates"":[-3.7111,40.4173],""type"":""Point""}",Madrid
3,A9937625910854912633,1,0,0,1,3,1948,23,6,58,null,1.507,0.6957,0.2024,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4193,-3.7112,1,201803,265000,2,4568.9655,"{""coordinates"":[-3.7112,40.4193],""type"":""Point""}",Madrid
3,A1120442361060604100,1,0,0,1,2,1880,12,6,60,null,1.4842,0.6623,0.1581,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4188,-3.7111,1,201803,254000,2,4233.3333,"{""coordinates"":[-3.7111,40.4188],""type"":""Point""}",Madrid
3,A7303974074369981066,3,0,0,1,5,1994,42,7,156,null,1.5493,1.1655,0.1102,1,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40.4079,-3.7116,1,201803,650000,6,4166.6667,"{""coordinates"":[-3.7116,40.4079],""type"":""Point""}",Madrid
3,A1864416353165415540,1,0,0,1,4,1926,11,7,35,null,1.3383,0.6775,0.1614,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4123,-3.7095,1,201803,128000,1,3657.1429,"{""coordinates"":[-3.7095,40.4123],""type"":""Point""}",Madrid
3,A2919403477744149310,3,0,0,1,4,1910,12,7,195,null,1.3213,0.5564,0.37,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4144,-3.7097,1,201803,759000,3,3892.3077,"{""coordinates"":[-3.7097,40.4144],""type"":""Point""}",Madrid
3,A905513343316224580,1,0,1,0,6,1900,6,5,50,1900,1.6222,1.0341,0.3147,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4098,-3.7121,1,201803,236000,2,4720,"{""coordinates"":[-3.7121,40.4098],""type"":""Point""}",Madrid
3,A3394002596260314509,1,0,0,1,7,1956,12,6,30,null,1.6121,1.0617,0.2765,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4094,-3.712,1,201803,177000,1,5900,"{""coordinates"":[-3.712,40.4094],""type"":""Point""}",Madrid
3,A17297754155641241826,3,0,1,0,4,1940,29,5,207,1940,1.401,0.6328,0.1955,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,40.4201,-3.7097,1,201803,1131000,5,5463.7681,"{""coordinates"":[-3.7097,40.4201],""type"":""Point""}",Madrid
3,A2032617712674975006,3,0,0,1,3,1900,5,4,163,1900,1.3892,0.5753,0.2683,1,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4158,-3.7105,1,201803,985000,3,6042.9448,"{""coordinates"":[-3.7105,40.4158],""type"":""Point""}",Madrid
3,A14348194906718201801,1,0,1,0,3,1860,42,4,77,1860,1.543,0.864,0.3135,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4118,-3.7118,1,201803,275000,3,3571.4286,"{""coordinates"":[-3.7118,40.4118],""type"":""Point""}",Madrid
3,A11062411078831478929,9,0,0,1,2,1935,16,6,394,null,1.3421,0.5233,0.2279,null,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4161,-3.7099,1,201803,2606000,11,6614.2132,"{""coordinates"":[-3.7099,40.4161],""type"":""Point""}",Madrid
