address,property_code,bathrooms,detailedtype,distance,district,exterior,floor,isparkingspaceincludedinprice,latitude,longitude,municipality,newdevelopment,operation,price,pricebyarea,propertytype,province,rooms,size,status,topplus,extracted_date,readable_date
calle Villa Magna,100133867,3,chalet,584,Fuenlabrada II - El Molino,false,null,true,40.289147,-3.8093783,Fuenlabrada,false,sale,362500.0,1604.0,chalet,Madrid,4,226.0,good,false,20240830235004,2024-08-30T23:50:04Z
barrio Conde Orgaz-Piovera,100175929,6,chalet,154,Hortaleza,false,null,true,40.4548612,-3.633394,Madrid,false,sale,3500000.0,4103.0,chalet,Madrid,5,853.0,good,true,20240731223744,2024-07-31T22:37:44Z
barrio San Juan Bautista,100244599,4,flat,110,Ciudad Lineal,true,4,true,40.454096,-3.6513271,Madrid,false,sale,1175000.0,3133.0,duplex,Madrid,5,375.0,good,false,20240731223744,2024-07-31T22:37:44Z
barrio San Juan Bautista,100244599,4,flat,110,Ciudad Lineal,true,4,true,40.454096,-3.6513271,Madrid,false,sale,1175000.0,3133.0,duplex,Madrid,5,375.0,good,false,20240830114934,2024-08-30T11:49:34Z
ALFONSO X,100248976,2,flat,948,Chamberí,true,2,false,40.4347855,-3.6906635,Madrid,false,sale,930000.0,7750.0,flat,Madrid,2,120.0,good,false,20240731223741,2024-07-31T22:37:41Z
"Urano, 2",100265025,2,flat,402,San Nicasio - Campo de Tiro - Solagua,true,1,true,40.3407,-3.78435,Leganés,true,sale,447300.0,3415.0,flat,Madrid,4,131.0,newdevelopment,false,20240830235009,2024-08-30T23:50:09Z
barrio Trafalgar,100265984,2,flat,755,Chamberí,true,2,true,40.4358916,-3.7050418,Madrid,false,sale,828000.0,6000.0,flat,Madrid,4,138.0,renew,false,20240731223741,2024-07-31T22:37:41Z
barrio Trafalgar,100265984,2,flat,755,Chamberí,true,2,true,40.4358916,-3.7050418,Madrid,false,sale,828000.0,6000.0,flat,Madrid,4,138.0,renew,false,20240830114832,2024-08-30T11:48:32Z
barrio V Centenario,100287984,4,chalet,454,San Nicasio - Campo de Tiro - Solagua,false,null,true,40.3393802,-3.7700545,Leganés,false,sale,488000.0,2059.0,chalet,Madrid,6,237.0,good,false,20240830235009,2024-08-30T23:50:09Z
calle de Segovia,100335644,3,flat,842,Centro,true,7,false,40.4147133,-3.7115561,Madrid,false,sale,1175000.0,6792.0,duplex,Madrid,4,173.0,good,true,20240731223738,2024-07-31T22:37:38Z
